Bezirk/Liste,SVP,FDP,SP,CVP,Grüne,glp,BDP,EVP,EDU,SLB,LOVB,Total
Aarau,4773.56,3346.56,4296.06,1198.94,1381.25,998.44,415.06,1006.06,348.63,72.5,0,17837.06
Baden,7168.7,4243.33,5250.87,4495.1,2057.97,1679.4,973.93,1082.37,132.67,0,23.87,27108.2
Bremgarten,4962.56,2291.31,2465.06,2139.63,778.38,807.13,301.19,223,153.13,0,0,14121.38
Brugg,3369,2239.09,2214.09,917.55,1058,532.55,248.36,676.18,188.55,0,0,11443.36
Kulm,3336.89,1332,981.44,150,660.11,129,236,568.78,421.56,61,0,7876.78
Laufenburg,2383.14,782.57,1330.71,1472.86,529.43,264,103.86,73.29,113.43,0,0,7053.29
Lenzburg,4192,1979.58,2426.17,730.08,731.92,792.17,666.67,600.75,120.58,0,0,12239.92
Muri,2503.43,777.57,905.71,1639.86,525.43,234.43,89.57,60.29,63.43,0,22.86,6822.57
Rheinfelden,2178.7,1222.3,1508.3,842.8,492.5,626.2,116.8,76.4,143.2,41.5,0,7248.7
Zofingen,4457.53,1745.07,2403.73,714.33,695.2,707.73,228.67,876.2,565.33,49.67,0,12443.47
Zurzach,2511.57,996.71,1001,1554.43,326.71,118.86,164.29,60,68.43,0,0,6802
Total Kanton Aargau,41837.09,20956.11,24783.16,15855.57,9236.89,6889.89,3544.39,5303.31,2318.92,224.67,46.72,130996.72
