BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-09-23;425446.0;...;151336.0;1556.0;73.0;149707.0;32920.0;116787.0;147671.0;1854.0;1448.0;5268.0
1901;Bezirk Aarau;2018-09-23;48918.0;...;19009.0;229.0;1.0;18779.0;4567.0;14212.0;18937.0;254.0;...;478.0
1902;Bezirk Baden;2018-09-23;84038.0;...;31301.0;351.0;9.0;30941.0;6558.0;24383.0;30707.0;332.0;...;1141.0
1903;Bezirk Bremgarten;2018-09-23;47439.0;...;17225.0;146.0;1.0;17078.0;3380.0;13698.0;16942.0;252.0;...;673.0
1904;Bezirk Brugg;2018-09-23;31805.0;...;12761.0;138.0;2.0;12621.0;2888.0;9733.0;12674.0;144.0;...;345.0
1905;Bezirk Kulm;2018-09-23;25548.0;...;8441.0;74.0;14.0;8353.0;1942.0;6411.0;8347.0;85.0;...;270.0
1906;Bezirk Laufenburg;2018-09-23;21195.0;...;7331.0;75.0;3.0;7253.0;1579.0;5674.0;7155.0;88.0;...;306.0
1907;Bezirk Lenzburg;2018-09-23;39471.0;...;13914.0;144.0;10.0;13760.0;3011.0;10749.0;13804.0;175.0;...;404.0
1908;Bezirk Muri;2018-09-23;23791.0;...;8110.0;65.0;2.0;8043.0;1618.0;6425.0;7994.0;89.0;...;248.0
1909;Bezirk Rheinfelden;2018-09-23;29242.0;...;9553.0;89.0;22.0;9442.0;2063.0;7379.0;9536.0;156.0;...;272.0
1910;Bezirk Zofingen;2018-09-23;44283.0;...;14010.0;155.0;4.0;13851.0;3174.0;10677.0;13633.0;162.0;...;663.0
1911;Bezirk Zurzach;2018-09-23;19996.0;...;7389.0;69.0;5.0;7315.0;1413.0;5902.0;7081.0;100.0;...;468.0
4001;Aarau;2018-09-23;14211.0;...;6174.0;101.0;...;6073.0;1690.0;4383.0;6090.0;87.0;...;223.0
4002;Biberstein;2018-09-23;1191.0;...;536.0;8.0;...;528.0;115.0;413.0;535.0;8.0;...;15.0
4003;Buchs (AG);2018-09-23;4252.0;...;1506.0;21.0;...;1485.0;351.0;1134.0;1509.0;16.0;...;26.0
