BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
19;Kanton Aargau;2018-11-25;416494.0;189531.0;3651.0;149.0;185731.0;65504.0;120227.0;191522.0;2479.0;7121.0
1901;Bezirk Aarau;2018-11-25;49099.0;23916.0;499.0;6.0;23411.0;9093.0;14318.0;24350.0;338.0;522.0
1902;Bezirk Baden;2018-11-25;84189.0;39097.0;790.0;75.0;38232.0;12336.0;25896.0;39624.0;470.0;1430.0
1903;Bezirk Bremgarten;2018-11-25;47426.0;21775.0;428.0;5.0;21342.0;6670.0;14672.0;22129.0;316.0;865.0
1904;Bezirk Brugg;2018-11-25;31956.0;15508.0;249.0;11.0;15248.0;5559.0;9689.0;15645.0;218.0;501.0
1905;Bezirk Kulm;2018-11-25;25593.0;10984.0;157.0;14.0;10813.0;4202.0;6611.0;10895.0;102.0;481.0
1906;Bezirk Laufenburg;2018-11-25;21197.0;9739.0;180.0;5.0;9554.0;3479.0;6075.0;9691.0;104.0;407.0
1907;Bezirk Lenzburg;2018-11-25;39561.0;17989.0;349.0;18.0;17622.0;6143.0;11479.0;18383.0;250.0;528.0
1908;Bezirk Muri;2018-11-25;23838.0;10389.0;189.0;0.0;10200.0;3500.0;6700.0;10532.0;118.0;374.0
1909;Bezirk Rheinfelden;2018-11-25;29296.0;12398.0;315.0;3.0;12080.0;4608.0;7472.0;12853.0;217.0;382.0
1910;Bezirk Zofingen;2018-11-25;44306.0;18322.0;328.0;0.0;17994.0;6664.0;11330.0;18175.0;239.0;1084.0
1911;Bezirk Zurzach;2018-11-25;20033.0;9414.0;167.0;12.0;9235.0;3250.0;5985.0;9245.0;107.0;547.0
4001;Aarau;2018-11-25;14298.0;7690.0;233.0;5.0;7452.0;2927.0;4525.0;7770.0;93.0;220.0
4002;Biberstein;2018-11-25;1191.0;653.0;16.0;0.0;637.0;196.0;441.0;655.0;5.0;17.0
4003;Buchs (AG);2018-11-25;4254.0;1988.0;34.0;0.0;1954.0;726.0;1228.0;2049.0;30.0;30.0
4004;Densbüren;2018-11-25;559.0;282.0;6.0;0.0;276.0;90.0;186.0;271.0;2.0;16.0
4005;Erlinsbach (AG);2018-11-25;2858.0;1499.0;20.0;0.0;1479.0;524.0;955.0;1476.0;21.0;75.0
4006;Gränichen;2018-11-25;4998.0;2195.0;23.0;0.0;2172.0;817.0;1355.0;2298.0;66.0;17.0
4007;Hirschthal;2018-11-25;1141.0;516.0;5.0;0.0;511.0;256.0;255.0;516.0;4.0;17.0
4008;Küttigen;2018-11-25;4252.0;2283.0;48.0;0.0;2235.0;853.0;1382.0;2325.0;13.0;20.0
4009;Muhen;2018-11-25;2709.0;1227.0;10.0;0.0;1217.0;527.0;690.0;1257.0;10.0;15.0
4010;Oberentfelden;2018-11-25;4815.0;1976.0;39.0;0.0;1937.0;725.0;1212.0;2003.0;26.0;55.0
4012;Suhr;2018-11-25;5573.0;2395.0;49.0;1.0;2345.0;1004.0;1341.0;2510.0;48.0;9.0
4013;Unterentfelden;2018-11-25;2451.0;1212.0;16.0;0.0;1196.0;448.0;748.0;1220.0;20.0;31.0
4021;Baden;2018-11-25;11774.0;6359.0;161.0;10.0;6188.0;2028.0;4160.0;6382.0;95.0;308.0
4022;Bellikon;2018-11-25;1167.0;617.0;5.0;0.0;612.0;200.0;412.0;618.0;9.0;25.0
4023;Bergdietikon;2018-11-25;1870.0;938.0;19.0;0.0;919.0;238.0;681.0;1009.0;9.0;7.0
4024;Birmenstorf (AG);2018-11-25;1940.0;909.0;21.0;0.0;888.0;230.0;658.0;924.0;14.0;21.0
4026;Ennetbaden;2018-11-25;2195.0;1312.0;34.0;1.0;1277.0;428.0;849.0;1321.0;12.0;47.0
4027;Fislisbach;2018-11-25;3416.0;1422.0;24.0;0.0;1398.0;402.0;996.0;1440.0;17.0;48.0
4028;Freienwil;2018-11-25;720.0;404.0;5.0;0.0;399.0;167.0;232.0;375.0;2.0;46.0
4029;Gebenstorf;2018-11-25;3274.0;1474.0;37.0;0.0;1437.0;479.0;958.0;1495.0;19.0;31.0
4030;Killwangen;2018-11-25;1189.0;493.0;13.0;0.0;480.0;168.0;312.0;498.0;1.0;11.0
4031;Künten;2018-11-25;1186.0;531.0;9.0;2.0;520.0;149.0;371.0;527.0;4.0;17.0
4032;Mägenwil;2018-11-25;1297.0;521.0;8.0;0.0;513.0;146.0;367.0;533.0;16.0;23.0
4033;Mellingen;2018-11-25;3032.0;1187.0;24.0;0.0;1163.0;357.0;806.0;1237.0;11.0;41.0
4034;Neuenhof;2018-11-25;3748.0;1311.0;32.0;0.0;1279.0;486.0;793.0;1346.0;20.0;45.0
4035;Niederrohrdorf;2018-11-25;2690.0;1282.0;23.0;0.0;1259.0;345.0;914.0;1282.0;13.0;59.0
4037;Oberrohrdorf;2018-11-25;2818.0;1552.0;20.0;0.0;1532.0;488.0;1044.0;1568.0;15.0;40.0
4038;Obersiggenthal;2018-11-25;4825.0;2366.0;43.0;3.0;2320.0;757.0;1563.0;2323.0;15.0;111.0
4039;Remetschwil;2018-11-25;1416.0;715.0;9.0;0.0;706.0;227.0;479.0;710.0;13.0;35.0
4040;Spreitenbach;2018-11-25;4657.0;1378.0;27.0;3.0;1348.0;521.0;827.0;1418.0;2.0;30.0
4041;Stetten (AG);2018-11-25;1359.0;494.0;14.0;0.0;480.0;141.0;339.0;534.0;15.0;10.0
4042;Turgi;2018-11-25;1522.0;627.0;19.0;0.0;608.0;230.0;378.0;649.0;18.0;17.0
4044;Untersiggenthal;2018-11-25;4249.0;2039.0;43.0;0.0;1996.0;723.0;1273.0;2039.0;19.0;74.0
4045;Wettingen;2018-11-25;12589.0;5941.0;137.0;2.0;5802.0;1882.0;3920.0;6080.0;71.0;160.0
4046;Wohlenschwil;2018-11-25;1025.0;483.0;10.0;0.0;473.0;167.0;306.0;473.0;1.0;24.0
4047;Würenlingen;2018-11-25;2816.0;1264.0;17.0;0.0;1247.0;371.0;876.0;1230.0;10.0;69.0
4048;Würenlos;2018-11-25;4212.0;2003.0;2.0;54.0;1947.0;558.0;1389.0;2125.0;27.0;72.0
4049;Ehrendingen;2018-11-25;3203.0;1475.0;34.0;0.0;1441.0;448.0;993.0;1488.0;22.0;59.0
4061;Arni (AG);2018-11-25;1272.0;643.0;15.0;0.0;628.0;199.0;429.0;647.0;4.0;36.0
4062;Berikon;2018-11-25;3140.0;1410.0;30.0;2.0;1378.0;382.0;996.0;1495.0;27.0;26.0
4063;Bremgarten (AG);2018-11-25;5118.0;2255.0;54.0;0.0;2201.0;723.0;1478.0;2319.0;47.0;59.0
4064;Büttikon;2018-11-25;656.0;314.0;3.0;0.0;311.0;145.0;166.0;312.0;4.0;13.0
4065;Dottikon;2018-11-25;2007.0;803.0;9.0;0.0;794.0;231.0;563.0;822.0;28.0;43.0
4066;Eggenwil;2018-11-25;694.0;376.0;9.0;0.0;367.0;129.0;238.0;390.0;12.0;16.0
4067;Fischbach-Göslikon;2018-11-25;1081.0;445.0;3.0;0.0;442.0;116.0;326.0;472.0;12.0;4.0
4068;Hägglingen;2018-11-25;1693.0;752.0;12.0;0.0;740.0;236.0;504.0;760.0;14.0;43.0
4071;Jonen;2018-11-25;1408.0;657.0;9.0;0.0;648.0;229.0;419.0;694.0;2.0;6.0
4072;Niederwil (AG);2018-11-25;1898.0;824.0;12.0;0.0;812.0;224.0;588.0;824.0;14.0;33.0
4073;Oberlunkhofen;2018-11-25;1433.0;748.0;22.0;0.0;726.0;219.0;507.0;782.0;12.0;11.0
4074;Oberwil-Lieli;2018-11-25;1720.0;967.0;28.0;0.0;939.0;268.0;671.0;998.0;6.0;36.0
4075;Rudolfstetten-Friedlisberg;2018-11-25;2630.0;1127.0;20.0;3.0;1104.0;389.0;715.0;1143.0;9.0;30.0
4076;Sarmenstorf;2018-11-25;1962.0;861.0;17.0;0.0;844.0;273.0;571.0;847.0;8.0;43.0
4077;Tägerig;2018-11-25;960.0;410.0;5.0;0.0;405.0;123.0;282.0;410.0;1.0;12.0
4078;Uezwil;2018-11-25;355.0;163.0;7.0;0.0;156.0;49.0;107.0;165.0;1.0;4.0
4079;Unterlunkhofen;2018-11-25;1026.0;501.0;12.0;0.0;489.0;159.0;330.0;508.0;10.0;23.0
4080;Villmergen;2018-11-25;4086.0;1618.0;21.0;0.0;1597.0;473.0;1124.0;1641.0;11.0;48.0
4081;Widen;2018-11-25;2549.0;1258.0;29.0;0.0;1229.0;356.0;873.0;1324.0;17.0;34.0
4082;Wohlen (AG);2018-11-25;8365.0;3977.0;67.0;0.0;3910.0;1213.0;2697.0;3875.0;59.0;306.0
4083;Zufikon;2018-11-25;2941.0;1433.0;38.0;0.0;1395.0;465.0;930.0;1458.0;12.0;36.0
4084;Islisberg;2018-11-25;432.0;233.0;6.0;0.0;227.0;69.0;158.0;243.0;6.0;3.0
4091;Auenstein;2018-11-25;1169.0;559.0;6.0;0.0;553.0;190.0;363.0;581.0;17.0;14.0
4092;Birr;2018-11-25;1925.0;728.0;4.0;0.0;724.0;249.0;475.0;766.0;22.0;13.0
4093;Birrhard;2018-11-25;531.0;237.0;2.0;0.0;235.0;85.0;150.0;234.0;5.0;10.0
4094;Bözen;2018-11-25;544.0;236.0;1.0;0.0;235.0;103.0;132.0;235.0;5.0;13.0
4095;Brugg;2018-11-25;6777.0;3529.0;67.0;1.0;3461.0;1334.0;2127.0;3517.0;39.0;160.0
4096;Effingen;2018-11-25;410.0;193.0;1.0;0.0;192.0;65.0;127.0;186.0;3.0;19.0
4097;Elfingen;2018-11-25;227.0;105.0;3.0;0.0;102.0;49.0;53.0;106.0;2.0;4.0
4099;Habsburg;2018-11-25;336.0;194.0;2.0;0.0;192.0;55.0;137.0;199.0;2.0;4.0
4100;Hausen (AG);2018-11-25;2281.0;1047.0;22.0;0.0;1025.0;309.0;716.0;1084.0;15.0;11.0
4104;Lupfig;2018-11-25;2102.0;979.0;18.0;0.0;961.0;315.0;646.0;998.0;10.0;18.0
4105;Mandach;2018-11-25;241.0;116.0;0.0;0.0;116.0;51.0;65.0;102.0;0.0;15.0
4106;Mönthal;2018-11-25;298.0;148.0;1.0;0.0;147.0;49.0;98.0;149.0;2.0;3.0
