BFSNR;NAME;DATUM;WAHLBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;AEBI;FERI;GALLATI;GLARNER;LISCHER;LUESCHER;VEREINZELTE
19;Kanton Aargau;2019-10-20;419164.0;183984.0;1602.0;359.0;182023.0;21882.0;44765.0;63830.0;27940.0;1345.0;20311.0;1950.0
1901;Bezirk Aarau;2019-10-20;49470.0;24215.0;164.0;48.0;24003.0;3020.0;6577.0;7116.0;3504.0;112.0;3504.0;170.0
1902;Bezirk Baden;2019-10-20;84622.0;38801.0;412.0;78.0;38311.0;5301.0;10747.0;11556.0;5936.0;263.0;4106.0;402.0
1903;Bezirk Bremgarten;2019-10-20;47674.0;20559.0;163.0;71.0;20325.0;2642.0;4440.0;7959.0;3205.0;185.0;1652.0;242.0
1904;Bezirk Brugg;2019-10-20;32186.0;15357.0;131.0;25.0;15201.0;1705.0;4029.0;5115.0;2478.0;93.0;1639.0;142.0
1905;Bezirk Kulm;2019-10-20;25791.0;10506.0;55.0;28.0;10423.0;894.0;1699.0;4601.0;1189.0;90.0;1837.0;113.0
1906;Bezirk Laufenburg;2019-10-20;21308.0;9026.0;111.0;16.0;8899.0;988.0;2315.0;3366.0;1236.0;58.0;793.0;143.0
1907;Bezirk Lenzburg;2019-10-20;40201.0;17984.0;97.0;29.0;17858.0;1943.0;3931.0;6112.0;3842.0;112.0;1758.0;160.0
1908;Bezirk Muri;2019-10-20;24042.0;9976.0;99.0;19.0;9858.0;1237.0;1874.0;4221.0;1452.0;180.0;770.0;124.0
1909;Bezirk Rheinfelden;2019-10-20;29297.0;11198.0;148.0;24.0;11026.0;1564.0;3008.0;3488.0;1654.0;86.0;1088.0;138.0
1910;Bezirk Zofingen;2019-10-20;44491.0;17670.0;129.0;14.0;17527.0;1794.0;4034.0;6790.0;2096.0;101.0;2531.0;181.0
1911;Bezirk Zurzach;2019-10-20;20082.0;8692.0;93.0;7.0;8592.0;794.0;2111.0;3506.0;1348.0;65.0;633.0;135.0
4001;Aarau;2019-10-20;14467.0;7965.0;67.0;13.0;7885.0;1147.0;2616.0;1671.0;1100.0;30.0;1284.0;37.0
