BFSNR;NAME;DATUM;WAHLBERECHTIGTE;BRIEFEINGEL;BRIEFUNGUELTG;URNEN_STIMMABG;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;BALLY;BINDER_KELLER;BURKART;FLACH;FRAUCHIGER;KNECHT;LEUTWYLER;LISCHER;MÜRI;WERMUTH;VEREINZELTE;VEREINZELTLEERE;VEREINZELTUNGUE
19;Kanton Aargau;2019-10-20;429507.0;191532.0;1872.0;7488.0;190672.0;614.0;148.0;189910.0;21706.0;36700.0;82515.0;23158.0;9784.0;72574.0;5786.0;1663.0;40560.0;55274.0;5590.0;23703.0;807.0
1901;Bezirk Aarau;2019-10-20;49470.0;25106.0;282.0;663.0;24769.0;77.0;10.0;24682.0;3151.0;3800.0;10535.0;3377.0;1448.0;7799.0;641.0;159.0;6180.0;8892.0;576.0;2696.0;110.0
1902;Bezirk Baden;2019-10-20;84622.0;39305.0;351.0;1844.0;39987.0;136.0;31.0;39820.0;3871.0;9689.0;17959.0;4946.0;1620.0;12527.0;1373.0;250.0;10117.0;12100.0;913.0;4131.0;144.0
1903;Bezirk Bremgarten;2019-10-20;47674.0;21192.0;251.0;911.0;21062.0;71.0;16.0;20975.0;2441.0;4534.0;9525.0;2680.0;674.0;8330.0;618.0;244.0;3900.0;5435.0;681.0;2791.0;97.0
1904;Bezirk Brugg;2019-10-20;32186.0;15692.0;120.0;466.0;15694.0;42.0;8.0;15644.0;1768.0;2687.0;6839.0;2193.0;1279.0;5813.0;413.0;94.0;3592.0;4535.0;387.0;1620.0;68.0
1905;Bezirk Kulm;2019-10-20;25791.0;10689.0;74.0;364.0;10665.0;19.0;10.0;10636.0;1284.0;1312.0;5173.0;856.0;895.0;5316.0;370.0;131.0;1633.0;2413.0;380.0;1420.0;89.0
1906;Bezirk Laufenburg;2019-10-20;21308.0;9312.0;78.0;377.0;9320.0;28.0;9.0;9283.0;1113.0;2153.0;3562.0;921.0;358.0;4207.0;257.0;66.0;1705.0;2459.0;313.0;1411.0;41.0
1907;Bezirk Lenzburg;2019-10-20;40201.0;18741.0;201.0;617.0;18406.0;48.0;9.0;18349.0;2605.0;2663.0;8366.0;2427.0;894.0;7219.0;547.0;154.0;3613.0;5153.0;595.0;2383.0;79.0
1908;Bezirk Muri;2019-10-20;24042.0;10426.0;102.0;364.0;10309.0;21.0;12.0;10276.0;1195.0;2720.0;4552.0;1139.0;340.0;4457.0;322.0;191.0;1640.0;2229.0;416.0;1298.0;53.0
1909;Bezirk Rheinfelden;2019-10-20;29297.0;12136.0;137.0;441.0;11547.0;83.0;21.0;11443.0;1379.0;2287.0;3806.0;1608.0;497.0;4195.0;388.0;126.0;2786.0;3635.0;404.0;1738.0;37.0
