BFSNR;NAME;DATUM;TOTAL;SVP;JSVP;SP;JUSO;FDP;JFDP;CVP;GRUENE;JGRUENE;BDP;JBDP;GLP;JGLP;EVP;JEVP;EDU;PPAG;FW_AG;LOVB;T65P;DU;LS
19;Kanton Aargau;2019-10-20;2985938.0;916647.0;24769.0;469942.0;21732.0;385936.0;18796.0;295446.0;257338.0;34732.0;80311.0;11300.0;222920.0;31050.0;96761.0;12033.0;29768.0;10090.0;6954.0;4094.0;41127.0;7651.0;6541.0
1901;Bezirk Aarau;2019-10-20;386897.0;93913.0;1980.0;78558.0;3629.0;60759.0;2177.0;23025.0;39213.0;4947.0;9703.0;1591.0;31000.0;3698.0;16969.0;1710.0;3748.0;1391.0;772.0;490.0;6294.0;767.0;563.0
1902;Bezirk Baden;2019-10-20;621508.0;153575.0;4146.0;104942.0;5482.0;82114.0;5506.0;75921.0;56882.0;8074.0;18968.0;2470.0;55986.0;7771.0;18653.0;2085.0;3160.0;1962.0;1711.0;787.0;7562.0;2074.0;1677.0
1903;Bezirk Bremgarten;2019-10-20;331420.0;112285.0;3876.0;44597.0;2653.0;43657.0;1659.0;40164.0;24248.0;3548.0;8122.0;1236.0;25068.0;4082.0;5825.0;795.0;2210.0;900.0;644.0;479.0;3850.0;687.0;835.0
1904;Bezirk Brugg;2019-10-20;245454.0;71631.0;1771.0;38870.0;1782.0;34718.0;1521.0;18981.0;24094.0;3159.0;7147.0;912.0;16995.0;2502.0;10463.0;1783.0;2196.0;895.0;511.0;266.0;3870.0;786.0;601.0
1905;Bezirk Kulm;2019-10-20;167095.0;69421.0;1367.0;20196.0;756.0;20039.0;826.0;7681.0;11621.0;1326.0;4126.0;656.0;7874.0;938.0;9564.0;735.0;5212.0;351.0;440.0;249.0;3116.0;291.0;310.0
1906;Bezirk Laufenburg;2019-10-20;146871.0;50455.0;1454.0;21038.0;739.0;13290.0;715.0;22930.0;11808.0;1465.0;4140.0;480.0;8503.0;1306.0;2127.0;710.0;1084.0;672.0;316.0;200.0;2933.0;204.0;302.0
1907;Bezirk Lenzburg;2019-10-20;286721.0;93689.0;2417.0;43999.0;1614.0;41935.0;1335.0;19273.0;23503.0;3258.0;8684.0;1408.0;22997.0;3021.0;9296.0;1224.0;2303.0;1074.0;589.0;350.0;3371.0;750.0;631.0
1908;Bezirk Muri;2019-10-20;163750.0;59643.0;2160.0;16493.0;800.0;15960.0;674.0;30276.0;11416.0;1702.0;4251.0;640.0;10660.0;1545.0;2377.0;445.0;1044.0;532.0;446.0;448.0;1330.0;641.0;267.0
1909;Bezirk Rheinfelden;2019-10-20;180556.0;50604.0;1465.0;32471.0;1325.0;21081.0;1875.0;19756.0;15757.0;2269.0;4148.0;514.0;15097.0;2134.0;3330.0;321.0;1919.0;1123.0;468.0;246.0;3718.0;658.0;277.0
1910;Bezirk Zofingen;2019-10-20;284584.0;102073.0;2766.0;46062.0;1398.0;32776.0;1296.0;14020.0;23609.0;2563.0;7196.0;1032.0;18627.0;2546.0;15385.0;1810.0;5487.0;675.0;776.0;351.0;2962.0;598.0;576.0
1911;Bezirk Zurzach;2019-10-20;141561.0;53869.0;1190.0;17906.0;889.0;16187.0;951.0;21211.0;9878.0;1319.0;3412.0;335.0;6851.0;1062.0;2004.0;328.0;975.0;454.0;211.0;205.0;1741.0;167.0;416.0
4001;Aarau;2019-10-20;129419.0;20686.0;471.0;32766.0;1437.0;20885.0;703.0;7326.0;16648.0;2351.0;2774.0;512.0;12410.0;1636.0;4147.0;542.0;815.0;574.0;297.0;170.0;1759.0;358.0;152.0
4002;Biberstein;2019-10-20;10826.0;2387.0;32.0;2016.0;21.0;2155.0;22.0;571.0;1262.0;102.0;346.0;20.0;870.0;73.0;355.0;33.0;10.0;53.0;30.0;5.0;442.0;12.0;9.0
4003;Buchs (AG);2019-10-20;29906.0;7877.0;141.0;5633.0;199.0;4310.0;212.0;2327.0;2630.0;311.0;566.0;142.0;2192.0;266.0;1976.0;188.0;136.0;95.0;59.0;23.0;523.0;51.0;49.0
4004;Densbüren;2019-10-20;3830.0;1812.0;41.0;471.0;9.0;381.0;11.0;200.0;325.0;15.0;135.0;22.0;211.0;13.0;63.0;11.0;26.0;8.0;10.0;2.0;36.0;19.0;9.0
4005;Erlinsbach (AG);2019-10-20;25101.0;7806.0;82.0;3995.0;227.0;4491.0;199.0;1906.0;2024.0;158.0;644.0;87.0;1877.0;205.0;604.0;69.0;177.0;54.0;40.0;36.0;350.0;34.0;36.0
4006;Gränichen;2019-10-20;34471.0;11437.0;382.0;5517.0;334.0;4664.0;170.0;1824.0;2580.0;334.0;965.0;167.0;2125.0;228.0;2065.0;133.0;596.0;99.0;69.0;33.0;600.0;39.0;110.0
4007;Hirschthal;2019-10-20;7895.0;3109.0;32.0;894.0;16.0;1469.0;22.0;345.0;482.0;57.0;147.0;70.0;420.0;27.0;420.0;36.0;157.0;5.0;8.0;21.0;118.0;34.0;6.0
4008;Küttigen;2019-10-20;37654.0;8264.0;122.0;7501.0;337.0;6200.0;284.0;2093.0;4202.0;412.0;1022.0;87.0;3591.0;336.0;1742.0;128.0;280.0;95.0;112.0;42.0;720.0;35.0;49.0
4009;Muhen;2019-10-20;18696.0;7461.0;144.0;2598.0;116.0;2698.0;125.0;907.0;831.0;132.0;599.0;154.0;966.0;141.0;925.0;85.0;309.0;106.0;11.0;26.0;320.0;21.0;21.0
4010;Oberentfelden;2019-10-20;29779.0;9232.0;273.0;4795.0;269.0;4377.0;139.0;2019.0;2219.0;259.0;1020.0;112.0;1789.0;251.0;1298.0;61.0;625.0;110.0;44.0;41.0;731.0;74.0;41.0
4012;Suhr;2019-10-20;40576.0;8968.0;200.0;9282.0;407.0;5919.0;160.0;2216.0;4511.0;665.0;930.0;123.0;3114.0;379.0;2276.0;278.0;396.0;135.0;73.0;47.0;422.0;38.0;37.0
4013;Unterentfelden;2019-10-20;18744.0;4874.0;60.0;3090.0;257.0;3210.0;130.0;1291.0;1499.0;151.0;555.0;95.0;1435.0;143.0;1098.0;146.0;221.0;57.0;19.0;44.0;273.0;52.0;44.0
4021;Baden;2019-10-20;100967.0;14479.0;398.0;23248.0;1364.0;14222.0;745.0;9491.0;13866.0;1716.0;1719.0;501.0;12270.0;1425.0;2151.0;359.0;269.0;392.0;336.0;186.0;963.0;597.0;270.0
4022;Bellikon;2019-10-20;9639.0;3132.0;129.0;1087.0;24.0;1271.0;143.0;969.0;556.0;181.0;426.0;63.0;969.0;144.0;238.0;12.0;32.0;23.0;33.0;35.0;123.0;35.0;14.0
4023;Bergdietikon;2019-10-20;13027.0;5088.0;79.0;1381.0;55.0;1948.0;95.0;757.0;957.0;19.0;423.0;69.0;1421.0;126.0;265.0;65.0;105.0;15.0;27.0;16.0;77.0;34.0;5.0
4024;Birmenstorf (AG);2019-10-20;14289.0;3948.0;170.0;1328.0;76.0;1686.0;77.0;3382.0;1129.0;87.0;528.0;34.0;825.0;178.0;333.0;49.0;68.0;62.0;67.0;11.0;151.0;77.0;23.0
4026;Ennetbaden;2019-10-20;22560.0;2394.0;73.0;6326.0;240.0;3749.0;143.0;2045.0;2925.0;345.0;378.0;36.0;2571.0;241.0;546.0;45.0;33.0;38.0;53.0;25.0;247.0;55.0;52.0
4027;Fislisbach;2019-10-20;22489.0;5810.0;176.0;3600.0;172.0;3106.0;114.0;2999.0;1351.0;214.0;1003.0;146.0;1868.0;279.0;790.0;192.0;115.0;63.0;12.0;46.0;339.0;28.0;66.0
4028;Freienwil;2019-10-20;6551.0;1294.0;31.0;1061.0;59.0;788.0;372.0;641.0;811.0;100.0;290.0;13.0;466.0;72.0;314.0;35.0;128.0;2.0;4.0;3.0;33.0;29.0;5.0
4029;Gebenstorf;2019-10-20;22722.0;5805.0;262.0;3883.0;147.0;3045.0;134.0;2602.0;2047.0;344.0;665.0;73.0;1909.0;337.0;795.0;87.0;26.0;96.0;71.0;20.0;248.0;73.0;53.0
4030;Killwangen;2019-10-20;7498.0;2229.0;72.0;1075.0;73.0;703.0;44.0;1052.0;602.0;118.0;232.0;12.0;631.0;94.0;206.0;16.0;34.0;36.0;23.0;43.0;148.0;25.0;30.0
4031;Künten;2019-10-20;8479.0;3241.0;226.0;902.0;75.0;705.0;23.0;1026.0;562.0;179.0;300.0;69.0;661.0;69.0;121.0;25.0;25.0;13.0;16.0;4.0;144.0;47.0;46.0
4032;Mägenwil;2019-10-20;8118.0;2815.0;17.0;889.0;121.0;1279.0;35.0;1224.0;385.0;91.0;250.0;9.0;456.0;104.0;195.0;20.0;67.0;12.0;27.0;5.0;84.0;9.0;24.0
4033;Mellingen;2019-10-20;19851.0;6197.0;176.0;2462.0;183.0;2666.0;120.0;2368.0;1403.0;250.0;722.0;94.0;1752.0;308.0;494.0;71.0;122.0;95.0;66.0;38.0;191.0;28.0;45.0
4034;Neuenhof;2019-10-20;19946.0;6310.0;82.0;3338.0;183.0;1607.0;398.0;3126.0;1167.0;262.0;422.0;66.0;1240.0;290.0;500.0;99.0;158.0;79.0;65.0;17.0;342.0;43.0;152.0
4035;Niederrohrdorf;2019-10-20;21656.0;5103.0;222.0;2810.0;135.0;3598.0;118.0;2311.0;1498.0;125.0;2252.0;216.0;1747.0;346.0;515.0;103.0;104.0;60.0;60.0;12.0;239.0;37.0;45.0
4037;Oberrohrdorf;2019-10-20;23694.0;5832.0;131.0;2586.0;153.0;4459.0;264.0;3261.0;1414.0;239.0;1283.0;175.0;2064.0;414.0;475.0;31.0;99.0;95.0;94.0;49.0;410.0;137.0;29.0
4038;Obersiggenthal;2019-10-20;38306.0;8750.0;217.0;7387.0;447.0;5556.0;205.0;4790.0;3878.0;474.0;901.0;79.0;2987.0;342.0;1162.0;102.0;147.0;133.0;44.0;33.0;550.0;78.0;44.0
4039;Remetschwil;2019-10-20;11409.0;3315.0;151.0;807.0;50.0;1890.0;136.0;1317.0;619.0;162.0;805.0;95.0;1061.0;247.0;266.0;74.0;119.0;27.0;24.0;22.0;134.0;35.0;53.0
4040;Spreitenbach;2019-10-20;18727.0;6508.0;97.0;3553.0;175.0;1842.0;81.0;1984.0;1179.0;227.0;415.0;63.0;1326.0;193.0;455.0;20.0;97.0;77.0;31.0;5.0;352.0;17.0;30.0
4041;Stetten (AG);2019-10-20;8810.0;3023.0;98.0;1045.0;85.0;1151.0;35.0;1052.0;556.0;68.0;455.0;39.0;531.0;87.0;284.0;42.0;34.0;29.0;52.0;7.0;66.0;41.0;30.0
4042;Turgi;2019-10-20;10353.0;2138.0;44.0;2715.0;189.0;1285.0;31.0;818.0;1386.0;227.0;180.0;37.0;729.0;132.0;116.0;33.0;55.0;20.0;10.0;10.0;112.0;76.0;10.0
