BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2020-09-27;433195.0;245752.0;3586.0;109.0;242057.0;115323.0;126734.0;244976.0;3675.0;...;7442.0
1901;Bezirk Aarau;2020-09-27;49882.0;29979.0;517.0;12.0;29450.0;12812.0;16638.0;30372.0;585.0;...;560.0
1902;Bezirk Baden;2020-09-27;84974.0;50045.0;755.0;28.0;49262.0;22889.0;26373.0;49697.0;660.0;...;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;28143.0;402.0;18.0;27723.0;13287.0;14436.0;27966.0;410.0;...;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;19299.0;286.0;5.0;19008.0;8931.0;10077.0;19322.0;300.0;...;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;14152.0;174.0;8.0;13970.0;6976.0;6994.0;14192.0;218.0;...;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;12162.0;177.0;2.0;11983.0;6137.0;5846.0;12142.0;168.0;...;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;23471.0;316.0;13.0;23142.0;10648.0;12494.0;23451.0;374.0;...;664.0
1908;Bezirk Muri;2020-09-27;24390.0;14067.0;186.0;6.0;13875.0;7663.0;6212.0;14021.0;185.0;...;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;15702.0;229.0;3.0;15470.0;7023.0;8447.0;15662.0;229.0;...;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;23945.0;343.0;6.0;23596.0;11235.0;12361.0;23672.0;375.0;...;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;12000.0;150.0;8.0;11842.0;6190.0;5652.0;11653.0;156.0;...;624.0
4001;Aarau;2020-09-27;14471.0;9193.0;203.0;4.0;8986.0;3421.0;5565.0;9236.0;175.0;...;215.0
4002;Biberstein;2020-09-27;1183.0;787.0;8.0;...;779.0;327.0;452.0;801.0;18.0;...;17.0
4003;Buchs (AG);2020-09-27;4206.0;2265.0;32.0;...;2233.0;996.0;1237.0;2289.0;33.0;...;31.0
4004;Densbüren;2020-09-27;557.0;329.0;4.0;...;325.0;198.0;127.0;330.0;7.0;...;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1870.0;15.0;5.0;1850.0;914.0;936.0;1847.0;13.0;...;50.0
4006;Gränichen;2020-09-27;5199.0;2871.0;41.0;...;2830.0;1302.0;1528.0;2938.0;80.0;...;45.0
4007;Hirschthal;2020-09-27;1177.0;699.0;8.0;...;691.0;348.0;343.0;701.0;11.0;...;16.0
4008;Küttigen;2020-09-27;4360.0;2839.0;46.0;2.0;2791.0;1166.0;1625.0;2835.0;16.0;...;37.0
4009;Muhen;2020-09-27;2762.0;1562.0;16.0;...;1546.0;760.0;786.0;1601.0;28.0;...;21.0
4010;Oberentfelden;2020-09-27;4803.0;2467.0;37.0;...;2430.0;1110.0;1320.0;2470.0;32.0;...;48.0
4012;Suhr;2020-09-27;5604.0;3485.0;81.0;1.0;3403.0;1558.0;1845.0;3695.0;135.0;...;29.0
4013;Unterentfelden;2020-09-27;2583.0;1612.0;26.0;...;1586.0;712.0;874.0;1629.0;37.0;...;40.0
4021;Baden;2020-09-27;12086.0;7801.0;141.0;4.0;7656.0;3054.0;4602.0;7617.0;125.0;...;378.0
4022;Bellikon;2020-09-27;1168.0;801.0;10.0;...;791.0;371.0;420.0;795.0;14.0;...;25.0
4023;Bergdietikon;2020-09-27;1861.0;1126.0;12.0;1.0;1113.0;554.0;559.0;1146.0;14.0;...;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1157.0;11.0;...;1146.0;593.0;553.0;1161.0;12.0;...;17.0
4026;Ennetbaden;2020-09-27;2207.0;1611.0;23.0;...;1588.0;648.0;940.0;1607.0;17.0;...;35.0
4027;Fislisbach;2020-09-27;3393.0;1869.0;27.0;...;1842.0;894.0;948.0;1904.0;62.0;...;55.0
4028;Freienwil;2020-09-27;727.0;521.0;11.0;...;510.0;241.0;269.0;479.0;...;...;47.0
4029;Gebenstorf;2020-09-27;3309.0;1882.0;34.0;...;1848.0;851.0;997.0;1871.0;16.0;...;46.0
4030;Killwangen;2020-09-27;1171.0;670.0;11.0;1.0;658.0;297.0;361.0;665.0;8.0;...;16.0
4031;Künten;2020-09-27;1247.0;715.0;9.0;...;706.0;364.0;342.0;705.0;8.0;...;24.0
4032;Mägenwil;2020-09-27;1274.0;703.0;2.0;...;701.0;349.0;352.0;688.0;8.0;...;23.0
4033;Mellingen;2020-09-27;3138.0;1663.0;22.0;...;1641.0;766.0;875.0;1652.0;11.0;...;39.0
4034;Neuenhof;2020-09-27;3760.0;1735.0;29.0;...;1706.0;834.0;872.0;1730.0;37.0;...;51.0
