BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;HUERZELER#;ATTIGER#;DIETH#;GALLATI#;DICKSON;EGLI#;GUYER;HEGGLIN;LISCHER;SCHOENI;SUTTER;ZURFLUH;VEREINZELTE;LEERE_LINIEN
19;Kanton Aargau;2020-10-18;422612.0;136821.0;552.0;97.0;136172.0;87413.0;95404.0;95611.0;74492.0;15509.0;69747.0;60103.0;20707.0;8684.0;8597.0;15746.0;4397.0;15566.0;107574.0
1901;Bezirk Aarau;2020-10-18;49894.0;19305.0;86.0;27.0;19192.0;11772.0;13107.0;13167.0;9859.0;2457.0;11040.0;9712.0;3281.0;1019.0;1154.0;2528.0;436.0;1942.0;14163.0
1902;Bezirk Baden;2020-10-18;84965.0;27795.0;99.0;13.0;27683.0;16259.0;19651.0;20029.0;13424.0;3785.0;15169.0;13359.0;4811.0;1663.0;1699.0;3630.0;1299.0;3130.0;20295.0
1903;Bezirk Bremgarten;2020-10-18;48278.0;14866.0;66.0;9.0;14791.0;9468.0;10315.0;10225.0;8404.0;1497.0;6854.0;5877.0;2382.0;1048.0;990.0;1875.0;413.0;1558.0;12897.0
1904;Bezirk Brugg;2020-10-18;32381.0;11900.0;39.0;8.0;11853.0;7528.0;8352.0;8384.0;6307.0;1320.0;7200.0;5167.0;1808.0;693.0;616.0;1374.0;331.0;1253.0;8857.0
1905;Bezirk Kulm;2020-10-18;26012.0;7758.0;39.0;4.0;7715.0;5798.0;5732.0;5523.0;5148.0;587.0;3289.0;2702.0;789.0;609.0;536.0;634.0;244.0;880.0;5974.0
1906;Bezirk Laufenburg;2020-10-18;21563.0;7418.0;30.0;1.0;7387.0;5271.0;5178.0;5325.0;4162.0;693.0;3563.0;3016.0;978.0;491.0;463.0;759.0;204.0;717.0;6083.0
1907;Bezirk Lenzburg;2020-10-18;40827.0;13213.0;48.0;11.0;13154.0;8681.0;9352.0;9262.0;7489.0;1353.0;6737.0;5605.0;1977.0;805.0;833.0;1354.0;359.0;1521.0;10322.0
1908;Bezirk Muri;2020-10-18;24388.0;7053.0;24.0;6.0;7023.0;4796.0;5097.0;5121.0;4262.0;615.0;2975.0;2508.0;937.0;594.0;641.0;673.0;253.0;977.0;5627.0
1909;Bezirk Rheinfelden;2020-10-18;29327.0;7641.0;39.0;13.0;7589.0;4555.0;4696.0;4754.0;3712.0;998.0;3850.0;3327.0;1291.0;496.0;459.0;995.0;244.0;1198.0;7334.0
1910;Bezirk Zofingen;2020-10-18;44800.0;13051.0;51.0;4.0;12996.0;8552.0;8927.0;8744.0;7544.0;1246.0;6003.0;6443.0;1715.0;845.0;834.0;1353.0;363.0;1508.0;10794.0
1911;Bezirk Zurzach;2020-10-18;20177.0;6821.0;31.0;1.0;6789.0;4733.0;4997.0;5077.0;4181.0;958.0;3067.0;2387.0;738.0;421.0;372.0;571.0;251.0;882.0;5228.0
4001;Aarau;2020-10-18;14452.0;6462.0;34.0;11.0;6417.0;3255.0;3956.0;4043.0;2590.0;1135.0;4152.0;3783.0;1430.0;325.0;348.0;1133.0;151.0;544.0;5122.0
4002;Biberstein;2020-10-18;1192.0;533.0;5.0;1.0;527.0;343.0;389.0;390.0;280.0;58.0;311.0;260.0;82.0;26.0;35.0;56.0;8.0;44.0;353.0
4003;Buchs (AG);2020-10-18;4218.0;1442.0;8.0;0.0;1434.0;906.0;993.0;998.0;779.0;169.0;754.0;725.0;220.0;82.0;95.0;179.0;25.0;216.0;1028.0
