BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
19;Kanton Aargau;2023-06-18;429381.0;176313.0;2188.0;0.0;5305.0;172542.0;5723.0;92.0;166727.0;83180.0;83547.0
1901;Bezirk Aarau;2023-06-18;50174.0;22378.0;321.0;0.0;336.0;21561.0;715.0;21.0;20825.0;11548.0;9277.0
1902;Bezirk Baden;2023-06-18;86158.0;36366.0;396.0;0.0;1199.0;35794.0;1184.0;16.0;34594.0;18978.0;15616.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;20791.0;293.0;0.0;733.0;19976.0;710.0;7.0;19259.0;9285.0;9974.0
1904;Bezirk Brugg;2023-06-18;31543.0;14022.0;170.0;0.0;322.0;13737.0;469.0;9.0;13259.0;6824.0;6435.0
1905;Bezirk Kulm;2023-06-18;26712.0;9781.0;112.0;0.0;349.0;9695.0;309.0;25.0;9361.0;3840.0;5521.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9600.0;100.0;0.0;345.0;9610.0;332.0;2.0;9276.0;4345.0;4931.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17243.0;233.0;0.0;435.0;16839.0;545.0;3.0;16291.0;7618.0;8673.0
1908;Bezirk Muri;2023-06-18;25100.0;9923.0;120.0;0.0;198.0;9545.0;304.0;0.0;9241.0;4027.0;5214.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11478.0;157.0;0.0;318.0;11307.0;402.0;0.0;10905.0;5920.0;4985.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16276.0;199.0;0.0;700.0;16005.0;511.0;2.0;15492.0;7005.0;8487.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8455.0;87.0;0.0;370.0;8473.0;242.0;7.0;8224.0;3790.0;4434.0
4001;Aarau;2023-06-18;14303.0;7052.0;79.0;0.0;119.0;6866.0;268.0;0.0;6598.0;4207.0;2391.0
4002;Biberstein;2023-06-18;1197.0;612.0;7.0;0.0;7.0;596.0;13.0;0.0;583.0;329.0;254.0
4003;Buchs (AG);2023-06-18;4279.0;1760.0;26.0;0.0;21.0;1687.0;43.0;0.0;1644.0;890.0;754.0
4004;Densbüren;2023-06-18;575.0;221.0;4.0;0.0;8.0;214.0;8.0;0.0;206.0;84.0;122.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1409.0;16.0;0.0;23.0;1356.0;30.0;8.0;1318.0;699.0;619.0
4006;Gränichen;2023-06-18;5269.0;2007.0;43.0;0.0;33.0;1900.0;47.0;0.0;1853.0;821.0;1032.0
4007;Hirschthal;2023-06-18;1202.0;514.0;3.0;0.0;13.0;507.0;11.0;0.0;496.0;216.0;280.0
4008;Küttigen;2023-06-18;4569.0;2335.0;32.0;0.0;27.0;2195.0;79.0;0.0;2116.0;1230.0;886.0
4009;Muhen;2023-06-18;2775.0;1341.0;29.0;0.0;18.0;1242.0;48.0;0.0;1194.0;479.0;715.0
4010;Oberentfelden;2023-06-18;4740.0;1725.0;22.0;0.0;36.0;1669.0;61.0;13.0;1595.0;755.0;840.0
4012;Suhr;2023-06-18;5682.0;2274.0;44.0;0.0;15.0;2238.0;69.0;0.0;2169.0;1280.0;889.0
4013;Unterentfelden;2023-06-18;2582.0;1128.0;16.0;0.0;16.0;1091.0;38.0;0.0;1053.0;558.0;495.0
4021;Baden;2023-06-18;12263.0;5971.0;79.0;0.0;296.0;5979.0;223.0;1.0;5755.0;3774.0;1981.0
4022;Bellikon;2023-06-18;1157.0;574.0;9.0;0.0;13.0;550.0;17.0;0.0;533.0;248.0;285.0
4023;Bergdietikon;2023-06-18;1878.0;874.0;10.0;0.0;11.0;836.0;27.0;3.0;806.0;355.0;451.0
4024;Birmenstorf (AG);2023-06-18;1923.0;827.0;14.0;0.0;21.0;818.0;22.0;0.0;796.0;368.0;428.0
4026;Ennetbaden;2023-06-18;2259.0;1213.0;14.0;0.0;27.0;1182.0;45.0;0.0;1137.0;757.0;380.0
4027;Fislisbach;2023-06-18;3642.0;1495.0;29.0;0.0;42.0;1438.0;45.0;0.0;1393.0;708.0;685.0
4028;Freienwil;2023-06-18;751.0;373.0;1.0;0.0;24.0;378.0;11.0;0.0;367.0;201.0;166.0
4029;Gebenstorf;2023-06-18;3347.0;1338.0;14.0;0.0;33.0;1312.0;43.0;0.0;1269.0;675.0;594.0
4030;Killwangen;2023-06-18;1190.0;420.0;3.0;0.0;5.0;406.0;11.0;0.0;395.0;201.0;194.0
4031;Künten;2023-06-18;1267.0;554.0;4.0;0.0;9.0;543.0;18.0;0.0;525.0;265.0;260.0
4032;Mägenwil;2023-06-18;1291.0;480.0;5.0;0.0;12.0;474.0;13.0;0.0;461.0;218.0;243.0
4033;Mellingen;2023-06-18;3222.0;1106.0;10.0;0.0;43.0;1099.0;34.0;0.0;1065.0;555.0;510.0
4034;Neuenhof;2023-06-18;3609.0;1141.0;19.0;0.0;21.0;1105.0;28.0;0.0;1077.0;567.0;510.0
4035;Niederrohrdorf;2023-06-18;2994.0;1232.0;15.0;0.0;42.0;1214.0;35.0;0.0;1179.0;625.0;554.0
4037;Oberrohrdorf;2023-06-18;2813.0;1397.0;22.0;0.0;43.0;1379.0;41.0;0.0;1338.0;664.0;674.0
4038;Obersiggenthal;2023-06-18;4927.0;2071.0;9.0;0.0;99.0;2110.0;70.0;2.0;2038.0;1110.0;928.0
4039;Remetschwil;2023-06-18;1463.0;629.0;5.0;0.0;38.0;647.0;28.0;0.0;619.0;268.0;351.0
4040;Spreitenbach;2023-06-18;4709.0;1248.0;4.0;0.0;20.0;1211.0;22.0;2.0;1187.0;640.0;547.0
4041;Stetten (AG);2023-06-18;1489.0;569.0;14.0;0.0;15.0;539.0;18.0;0.0;521.0;250.0;271.0
4042;Turgi;2023-06-18;1557.0;584.0;11.0;0.0;16.0;573.0;14.0;0.0;559.0;377.0;182.0
