BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;ATTIGER;DIETH;GALLATI;EGLI;BARTH;BIRCHER;DEL_FABRO;FLACH;LISCHER;MUERI;SCHMID;SCHOENI;SOMMER;ZURFLUH;VEREINZELTE;LEERE_LINIEN
19;Kanton Aargau;2024-10-20;432840;139477;598;159;138720;94648;96742;86876;84254;13860;68127;11400;46717;4841;46661;5435;5950;10192;5633;15852;95078
1901;Bezirk Aarau;2024-10-20;50734;19451;67;22;19362;12899;13383;11417;12893;2435;8295;1947;7630;586;7784;525;761;1702;679;1912;11750
1902;Bezirk Baden;2024-10-20;86884;28610;133;30;28447;19502;20207;16299;17693;3354;12227;2815;10204;884;11594;1034;1142;2486;1206;3372;17946
1903;Bezirk Bremgarten;2024-10-20;49447;15518;64;31;15423;10429;10502;10114;8073;1404;7992;1098;5189;562;4338;1033;697;985;672;2309;11598
1904;Bezirk Brugg;2024-10-20;31644;11455;48;4;11403;7833;7986;7020;7664;1026;5334;976;4070;360;4188;408;427;944;466;1030;7242
1905;Bezirk Kulm;2024-10-20;27004;8009;23;6;7980;5608;5458;5693;4495;521;4759;422;2074;307;1928;336;327;379;303;998;6099
1906;Bezirk Laufenburg;2024-10-20;23255;7622;26;2;7594;5369;5554;5092;4772;581;4000;638;2160;285;2293;257;312;510;283;721;5101
1907;Bezirk Lenzburg;2024-10-20;42359;13474;47;5;13422;9367;9431;8766;8092;1410;6920;946;4782;441;4260;480;594;881;510;1260;8919
1908;Bezirk Muri;2024-10-20;25404;7619;38;5;7576;5260;5311;5130;4100;629;4183;472;2305;342;1878;344;487;413;332;977;5672
1909;Bezirk Rheinfelden;2024-10-20;29481;7448;57;16;7375;4612;4886;4234;4407;814;3284;760;2375;334;2453;275;317;649;364;1083;5994
1910;Bezirk Zofingen;2024-10-20;45685;13466;59;29;13378;8918;9087;8529;8035;1198;7464;925;4103;514;3971;502;625;899;532;1413;10038
1911;Bezirk Zurzach;2024-10-20;20943;6805;36;9;6760;4851;4937;4582;4030;488;3669;401;1825;226;1974;241;261;344;286;777;4719
