Bezirk,Anzahl Stimmberechtigte,Wahlbeteiligung,Total Wählerzahlen,SVP,SP,FDP,Mitte,Grüne,GLP,EVP,EDU,LOVB,PPAG,Fit,NB,DBP,MASSVOLL,Musik
Aarau,50734,38.4042259628651,18885.625,5140.6875,3654.1875,3551.0625,1362.9375,1907.3125,1675.25,1109.0625,351.875,-,133.25,-,-,-,-,-
Baden,86884,32.7379034114451,27332.7931034483,7460,4726.27586206897,4187.75862068966,4645.93103448276,2405.65517241379,2732.62068965517,930.724137931035,196.068965517241,-,-,-,-,-,-,47.7586206896552
Bremgarten,49447,31.9938520031549,15214.125,5965.375,2058.25,2151.5625,2385.125,850.1875,1415.8125,163.6875,151.125,-,-,-,-,73,-,-
Brugg,31644,36.4966502338516,11234.9,3471.3,1960,2056,1061.4,913.7,867.7,662.4,213.4,29,-,-,-,-,-,-
Kulm,27004,30.4621537549993,8017.44444444444,3472.22222222222,908.888888888889,1321.77777777778,437.444444444444,528.333333333333,280,542,507.222222222222,19.5555555555556,-,-,-,-,-,-
Laufenburg,23255,33.382068372393,7560.14285714286,2802.28571428571,1420.28571428571,863.571428571429,1333.14285714286,446.857142857143,430.428571428571,142.142857142857,106.857142857143,-,-,-,14.5714285714286,-,-,-
Lenzburg,42359,32.1985882575132,13209.7692307692,5002.61538461539,2086.46153846154,2183.30769230769,1284.46153846154,782.461538461539,1151,561.615384615385,157.846153846154,-,-,-,-,-,-,-
Muri,25404,31.0462919225319,7698.25,3014.875,791,813,1373.375,379.625,1028.625,80,59.625,70.5,-,-,-,-,87.625,-
Rheinfelden,29481,26.3322139683186,7477.1,2356,1483,1164.1,1172.7,523.5,558.1,90.3,129.4,-,-,-,-,-,-,-
Zofingen,45685,30.0426835941775,13202.4,4840.26666666667,2242.6,1852.8,1002.73333333333,955.466666666667,740.266666666667,926.2,538.466666666667,-,-,103.6,-,-,-,-
Zurzach,20943,33.4574798261949,6841.57142857143,2807,722,830.571428571429,1510.71428571429,472.428571428571,335.285714285714,102.428571428571,61.1428571428571,-,-,-,-,-,-,-
Total im Kanton,432840,32.6464744478329,136674.121064376,46332.62748779,22052.9495037051,20975.511947918,17569.9649935792,10165.527425161,11215.0891420361,5310.56095111785,2473.02900825228,119.055555555556,133.25,103.6,14.5714285714286,73,87.625,47.7586206896552
