BFSNR;NAME;DATUM;WAHLBER;WAEHLENDE;WAHLBET;GUELT_WAHLZ;UNVERAE_WAHLZ;VERAE_WAHLZ;WAHLZ_O_PARTEI
19;Kanton Aargau;2024-10-20;432840.0;141307.0;32.65;139283.0;56116.0;67836.0;15331.0
19;Kanton Aargau;2020-10-18;422612.0;139639.0;33.04;137679.0;49008.0;71955.0;16716.0
19;Kanton Aargau;2016-10-23;410024.0;134509.0;32.8;133505.0;49005.0;70392.0;14108.0
19;Kanton Aargau;2012-10-21;395773.0;126413.0;31.94;125384.0;41688.0;69904.0;13792.0
19;Kanton Aargau;2009-03-08;380827.0;120861.0;31.74;118933.0;36545.0;71736.0;10652.0
19;Kanton Aargau;2005-02-27;364157.0;120772.0;33.16;118888.0;33797.0;74538.0;10553.0
19;Kanton Aargau;2001-03-04;350647.0;147285.0;42.0;143849.0;38562.0;105185.0;102.0
19;Kanton Aargau;1997-03-02;341454.0;108328.0;31.73;107244.0;21744.0;85380.0;120.0
19;Kanton Aargau;1993-03-07;334196.0;150469.0;45.02;148541.0;33377.0;115053.0;111.0
19;Kanton Aargau;1989-03-05;313705.0;112239.0;35.78;111679.0;19019.0;92488.0;172.0
19;Kanton Aargau;1985-03-10;293681.0;116681.0;39.73;114524.0;20134.0;94221.0;169.0
19;Kanton Aargau;1981-03-15;273807.0;108132.0;39.49;107814.0;18441.0;89275.0;98.0
19;Kanton Aargau;1977-03-13;255605.0;131102.0;51.29;130122.0;27815.0;102192.0;115.0
19;Kanton Aargau;1973-03-18;238637.0;118131.0;49.5;117927.0;23657.0;94181.0;89.0
19;Kanton Aargau;1969-03-09;106178.0;80868.0;76.16;...;...;...;...
19;Kanton Aargau;1965-03-14;100461.0;81664.0;81.29;...;...;...;...
19;Kanton Aargau;1961-03-05;95133.0;82600.0;86.83;...;...;...;...
1901;Bezirk Aarau;2024-10-20;50734.0;19484.0;38.4;19253.0;7320.0;9878.0;2055.0
1901;Bezirk Aarau;2020-10-18;49894.0;19623.0;39.33;19402.0;6238.0;10823.0;2341.0
1901;Bezirk Aarau;2016-10-23;48305.0;18312.0;37.9;18171.0;6821.0;9474.0;1876.0
1901;Bezirk Aarau;2012-10-21;46922.0;16671.0;35.53;16550.0;5647.0;9059.0;1844.0
1901;Bezirk Aarau;2009-03-08;44918.0;15623.0;34.78;15321.0;5224.0;8676.0;1421.0
1901;Bezirk Aarau;2005-02-27;43079.0;15639.0;36.3;15423.0;4069.0;10085.0;1269.0
1901;Bezirk Aarau;2001-03-04;41657.0;18645.0;44.76;18068.0;4487.0;13568.0;13.0
1901;Bezirk Aarau;1997-03-02;41297.0;13809.0;33.44;13664.0;2696.0;10950.0;18.0
1901;Bezirk Aarau;1993-03-07;41606.0;18458.0;44.36;18187.0;4808.0;13367.0;12.0
1901;Bezirk Aarau;1989-03-05;39930.0;13207.0;33.08;13182.0;2605.0;10566.0;11.0
1901;Bezirk Aarau;1985-03-10;38266.0;14694.0;38.4;14273.0;3578.0;10644.0;51.0
1901;Bezirk Aarau;1981-03-15;36555.0;13170.0;36.03;13144.0;3084.0;10047.0;13.0
1901;Bezirk Aarau;1977-03-13;35063.0;17078.0;48.71;16935.0;5493.0;11426.0;16.0
1901;Bezirk Aarau;1973-03-18;33573.0;15732.0;46.86;15696.0;3911.0;11777.0;8.0
1901;Bezirk Aarau;1969-03-09;15043.0;11191.0;74.39;...;...;...;...
1901;Bezirk Aarau;1965-03-14;14305.0;11536.0;80.64;...;...;...;...
1901;Bezirk Aarau;1961-03-05;13639.0;11758.0;86.21;...;...;...;...
1902;Bezirk Baden;2024-10-20;86884.0;28444.0;32.74;28013.0;12447.0;13182.0;2384.0
1902;Bezirk Baden;2020-10-18;84965.0;28087.0;33.06;27732.0;10892.0;14067.0;2773.0
1902;Bezirk Baden;2016-10-23;83432.0;28123.0;33.7;27912.0;11006.0;14246.0;2660.0
1902;Bezirk Baden;2012-10-21;80392.0;25750.0;32.03;25555.0;9126.0;14131.0;2298.0
1902;Bezirk Baden;2009-03-08;77775.0;24440.0;31.42;24060.0;7994.0;14624.0;1442.0
1902;Bezirk Baden;2005-02-27;74200.0;24366.0;32.84;24035.0;7144.0;15594.0;1297.0
1902;Bezirk Baden;2001-03-04;71734.0;28913.0;40.31;28183.0;8786.0;19379.0;18.0
1902;Bezirk Baden;1997-03-02;70246.0;21710.0;30.91;21429.0;4648.0;16763.0;18.0
1902;Bezirk Baden;1993-03-07;69117.0;30359.0;43.92;29801.0;7326.0;22455.0;20.0
1902;Bezirk Baden;1989-03-05;65593.0;22721.0;34.64;22543.0;4049.0;18480.0;14.0
1902;Bezirk Baden;1985-03-10;61064.0;23415.0;38.35;22907.0;3946.0;18948.0;13.0
1902;Bezirk Baden;1981-03-15;56049.0;21012.0;37.49;20962.0;3414.0;17534.0;14.0
1902;Bezirk Baden;1977-03-13;51475.0;26472.0;51.43;26394.0;5182.0;21197.0;15.0
1902;Bezirk Baden;1973-03-18;47465.0;22883.0;48.21;22852.0;4301.0;18550.0;1.0
1902;Bezirk Baden;1969-03-09;20770.0;14821.0;71.36;...;...;...;...
