BFSNR;NAME;DATUM;WAHLBER;WAEHLENDE;WAHLBET;GUELT_WAHLZ;UNVERAE_WAHLZ;VERAE_WAHLZ;WAHLZ_O_PARTEI
19;Kanton Aargau;2023-10-23;442881.0;206180.0;46.6;202946.0;81964.0;101366.0;19616.0
19;Kanton Aargau;2019-10-20;429516.0;192123.0;44.7;189621.0;76222.0;94719.0;18680.0
19;Kanton Aargau;2015-10-18;414745.0;200147.0;48.3;197964.0;77956.0;104352.0;15656.0
19;Kanton Aargau;2011-10-23;399092.0;193601.0;48.51;186934.0;66224.0;98426.0;22284.0
19;Kanton Aargau;2007-10-21;380189.0;182295.0;47.95;176377.0;60477.0;99313.0;16587.0
19;Kanton Aargau;2003-10-19;363920.0;153832.0;42.27;150917.0;41220.0;98215.0;11482.0
19;Kanton Aargau;1999-10-24;351130.0;147630.0;42.04;145497.0;36882.0;97600.0;11015.0
19;Kanton Aargau;1995-10-22;342331.0;144183.0;42.12;141901.0;36039.0;95591.0;10271.0
19;Kanton Aargau;1991-10-20;332830.0;140909.0;42.34;139882.0;38748.0;91651.0;9483.0
19;Kanton Aargau;1987-10-18;307082.0;132401.0;43.12;131732.0;35000.0;89692.0;7040.0
19;Kanton Aargau;1983-10-23;287227.0;129016.0;44.92;128301.0;39194.0;82320.0;6787.0
19;Kanton Aargau;1979-10-21;268819.0;122659.0;45.63;121972.0;40767.0;75019.0;6186.0
19;Kanton Aargau;1975-10-26;250690.0;127016.0;50.67;126216.0;40536.0;80717.0;4963.0
19;Kanton Aargau;1971-10-31;232941.0;145512.0;62.47;143650.0;...;...;...
19;Kanton Aargau;1967-10-29;104829.0;83116.0;79.29;80667.0;...;...;...
19;Kanton Aargau;1963-10-27;98495.0;81249.0;82.49;78306.0;...;...;...
19;Kanton Aargau;1959-10-25;94726.0;79872.0;84.32;77066.0;...;...;...
19;Kanton Aargau;1955-10-30;92716.0;79494.0;85.74;77181.0;...;...;...
19;Kanton Aargau;1951-10-28;89544.0;76963.0;85.95;74307.0;...;...;...
19;Kanton Aargau;1947-10-26;85603.0;74880.0;87.47;72209.0;...;...;...
19;Kanton Aargau;1943-12-31;81680.0;70634.0;86.5;68065.0;...;...;...
19;Kanton Aargau;1939-12-31;75509.0;67271.0;89.1;64693.0;...;...;...
19;Kanton Aargau;1935-12-31;72982.0;65837.0;90.2;63410.0;...;...;...
19;Kanton Aargau;1931-12-31;68872.0;62316.0;90.5;60931.0;...;...;...
19;Kanton Aargau;1928-12-31;65815.0;58902.0;89.5;57292.0;...;...;...
1901;Bezirk Aarau;2023-10-23;50361.0;26211.0;52.0;25840.0;10005.0;13238.0;2597.0
1901;Bezirk Aarau;2019-10-20;49470.0;24823.0;50.2;24547.0;9359.0;12755.0;2433.0
1901;Bezirk Aarau;2015-10-18;48034.0;25097.0;52.2;24836.0;9383.0;13497.0;1956.0
1901;Bezirk Aarau;2011-10-23;46429.0;23701.0;51.05;22944.0;8181.0;12104.0;2659.0
1901;Bezirk Aarau;2007-10-21;44887.0;23395.0;52.12;22525.0;7388.0;12987.0;2150.0
